battery, 6.95326e-307, 66.9445, 67.7337, 67.4326, 69.6941, 62.8036, 66.9109, 66.7275, 67.2261, 66.8983
pv, 6.95326e-307, 4.34284, 2.45907, 2.28901, 1.83173, 1.37143, 1.50972, 1.30837, 17.9766, 0.839003
setpointcomp, 15.9182, 8.06993, 8.62998, 4.93654, 10.8241, 6.66388, 8.59793, 11.9663, 10.5574, 8.13493
sewait, 48.2434, 48.4253, 44.4028, 40.4014, 44.918, 46.4778, 46.0979, 47.8184, 50.049, 40.1886
total, 73.1567, 124.797, 123.267, 111.583, 122.875, 116.791, 123.906, 139.24, 126.416, 118.746
